id,source,title,agency,activity_type,posted_date,deadline,award_ceiling,currency,startup_eligible,consortium_eligible,keyword_score,semantic_score,combined_score,matched_topics,high_priority,url
EU-HORIZON-JU-CBE-2025-RIA-03,EU Funding Portal,Alternative biomanufacturing routes for natural and synthetic rubber,HORIZON,Grant,2025-04-02,,,EUR,False,True,14.3,,14.3,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CBE-2025-RIA-03
EU-HORIZON-CL6-2025-01-CIRCBIO-10,EU Funding Portal,Support to the EU Biotechnology and Biomanufacturing Initiative: scoping action,HORIZON,Grant,2025-09-18,,,EUR,False,True,14.3,,14.3,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2025-01-CIRCBIO-10
EU-101223091,EU Funding Portal,"Clever Combination of Synthetic Compartmentalization, Carbon Fixation and Compound Biomanufacturing",HORIZON,Grant,2025-11-01,,,EUR,False,True,14.3,,14.3,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/101223091
GRANTS-GOV-360622,Grants.gov,The NIDDK Inflammatory Bowel Disease Genetics Consortium (IBDGC) Data Coordinating Center,HHS-NIH11,Grant,2025-09-18,,,USD,False,True,13.8,,13.8,Gut Health & GI Diseases,False,https://www.grants.gov/search-results-detail/360622
GRANTS-GOV-360621,Grants.gov,The NIDDK Inflammatory Bowel Disease Genetics Consortium (IBDGC) Genomic Research Centers,HHS-NIH11,Grant,2025-09-18,,,USD,False,True,13.8,,13.8,Gut Health & GI Diseases,False,https://www.grants.gov/search-results-detail/360621
EU-HORIZON-CL6-2026-01-CIRCBIO-08,EU Funding Portal,Supporting pre-normative research for standardization of the bio-based products,HORIZON,Grant,2026-04-17,2026-09-17,,EUR,True,True,7.1,,7.1,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2026-01-CIRCBIO-08
EU-HORIZON-CL6-2027-01-CIRCBIO-06,EU Funding Portal,Towards a Europe of Bioeconomy Places,HORIZON,Grant,2027-04-20,2027-09-22,,EUR,True,True,7.1,,7.1,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2027-01-CIRCBIO-06
EU-HORIZON-CL6-2027-03-GOVERNANCE-03,EU Funding Portal,International dimension of the circular bio-based economy: seeking win-win opportunities,HORIZON,Grant,2027-02-04,2027-05-11,,EUR,False,True,7.1,,7.1,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2027-03-GOVERNANCE-03
GC-cost-disrupting-innovations-reduce-cost-ready-use-therapeutic-food,Grand Challenges,Cost-Disrupting Innovations to Reduce the Cost of Ready-to-Use Therapeutic Food,Gates Foundation,Grant,,2026-04-28,1500000,USD,False,False,7.1,,7.1,Biomanufacturing & Fermentation,False,https://gcgh.grandchallenges.org/challenge/cost-disrupting-innovations-reduce-cost-ready-use-therapeutic-food
http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-072.html,NIH Guide,Update - NIH Implementation of Uniform Administrative Requirements for Federal Financial Assistance,NIH,Other,2026-04-20,,,USD,False,False,0.0,,0.0,,False,http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-072.html
http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-073.html,NIH Guide,Notice of Information: Implementation of HHS Annual SBIR/STTR Application/Proposal Limit,NIH,Other,2026-04-20,,,USD,True,False,0.0,,0.0,,False,http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-073.html
http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-074.html,NIH Guide,Notice of Information: Policy Changes to SBIR and STTR Foreign Disclosure and Risk Management,NIH,Other,2026-04-20,,,USD,True,False,0.0,,0.0,,False,http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-074.html
http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-075.html,NIH Guide,Notice of Information: Policy changes to SBIR and STTR Discretionary Technical and Business Assistance,NIH,Other,2026-04-20,,,USD,True,False,0.0,,0.0,,False,http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-075.html
http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-076.html,NIH Guide,"Notice to Rescind NOT-OD-24-077 ""Technical and Business Assistance (TABA) Funding May be Added to an SBIR/STTR Award by Administrative Supplement""",OD,Other,2026-04-20,,,USD,True,False,0.0,,0.0,,False,http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-076.html
http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-079.html,NIH Guide,Announcement of Upcoming System Enforcement of Common Forms and End of NIHs Leniency Period,NIH,Other,2026-04-21,,,USD,False,False,0.0,,0.0,,False,http://grants.nih.gov/grants/guide/notice-files/NOT-OD-26-079.html
SBIR-358859,SBIR/STTR,BRAIN Initiative: Research Resource Grants for Technology Integration and Dissemination (U24 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-02-09,2028-10-06,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358859
SBIR-360561,SBIR/STTR,Growing Great Ideas: Research Education Course in Product Development and Entrepreneurship for Life Science Researchers,HHS-NIH11,Grant,2025-09-11,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360561
SBIR-359671,SBIR/STTR,"NIH, CDC and FDA Small Business Innovation Research Grant (Parent SBIR [R43/R44] Clinical Trial Optional)",HHS-NIH11,Grant,2025-06-18,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359671
SBIR-359758,SBIR/STTR,NIH Small Business Innovation Research (SBIR) Phase IIB Strategic Breakthrough Award (Parent [R44] Clinical Trial Optional),HHS-NIH11,Grant,2025-06-18,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359758
SBIR-359726,SBIR/STTR,Forecast to Publish a Notice of Funding Opportunity for SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer-Relevant Technologies Toward Commercialization (R44 Clinical Trial Optional),HHS-NIH11,Grant,2025-06-16,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359726
SBIR-359724,SBIR/STTR,Forecast to Publish a Notice of Funding Opportunity for Small Business Transition Grant For Early Career Scientists (R41/R42 Clinical Trial Not Allowed),HHS-NIH11,Grant,2025-06-16,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359724
SBIR-359669,SBIR/STTR,SBIR/STTR Commercialization Readiness Pilot (CRP) Program (Parent SB1 Clinical Trial Optional),HHS-NIH11,Grant,2025-06-10,,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359669
SBIR-358912,SBIR/STTR,NIEHS Worker Training Program&rsquo;s SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,Grant,2025-05-21,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358912
SBIR-359757,SBIR/STTR,NIH Small Business Technology Transfer Grant (Parent STTR [R41/R42] Clinical Trial Optional),HHS-NIH11,Grant,2025-06-18,,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359757
SBIR-361983,SBIR/STTR,Alumni Engagement Innovation Fund 2026 - Mauritius,DOS-MUS,Grant,2026-04-22,2026-05-04,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361983
SBIR-360308,SBIR/STTR,Community Health Aide Program: Tribal Planning and Implementation (TPI),HHS-IHS,Grant,2026-04-15,2026-05-15,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360308
SBIR-361895,SBIR/STTR,Advancing Global Health,DOS-GHSD,Grant,2026-04-14,2027-02-14,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361895
SBIR-361832,SBIR/STTR,Accelerating Research and Development of Next Generation Malaria Vaccines Against Malaria &ndash; A Model for Mosquito-Borne Diseases,HHS-NIH11,Grant,2026-04-09,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361832
SBIR-361754,SBIR/STTR,Title X Family Planning Services Grants,HHS-OPHS,Grant,2026-04-03,2027-01-09,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361754
SBIR-361725,SBIR/STTR,Delta Health Care Service Grant Program,USDA-RBCS,Grant,2026-04-01,2026-06-01,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361725
SBIR-361544,SBIR/STTR,Fiscal Year (FY) 2026 AmeriCorps Martin Luther King Jr. Day of Service,AC,Grant,2026-04-01,2026-04-30,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361544
SBIR-361547,SBIR/STTR,Fiscal Year (FY) 2026 AmeriCorps Volunteer Generation Fund,AC,Grant,2026-04-01,2026-04-30,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361547
SBIR-361724,SBIR/STTR,Pathways for Regulatory Innovation and Strategic Modernization (PRISM),HHS-FDA,Grant,2026-03-31,2026-04-30,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361724
SBIR-361606,SBIR/STTR,Single Source: Coordinating Center (CC) for the Small Cell Lung Cancer (SCLC) Consortium (U24 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-03-24,,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361606
SBIR-361601,SBIR/STTR,Supporting Interventions with Technical Assistance,HHS-HRSA,Grant,2026-03-23,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361601
SBIR-361603,SBIR/STTR,Natural Gas Distribution Infrastructure Safety and Modernization (NGDISM) Grant Program,DOT-PHMSA,Grant,2026-03-23,2026-05-22,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361603
SBIR-361549,SBIR/STTR,Fiscal Year (FY) 2026 AmeriCorps State and National Native Nations Grants,AC,Grant,2026-03-20,2026-05-20,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361549
SBIR-358851,SBIR/STTR,Clinical Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative UG3/UH3 Clinical Trial Required),HHS-NIH11,Grant,2026-03-18,2028-11-02,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358851
SBIR-358850,SBIR/STTR,Single-Site Investigator-Initiated Clinical Trials (R61/R33 Clinical Trial Required),HHS-NIH11,Grant,2026-03-18,2028-11-02,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358850
SBIR-361518,SBIR/STTR,Exploratory Clinical Neuroscience Research on Substance Use Disorders,HHS-NIH11,Grant,2026-03-16,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361518
SBIR-361524,SBIR/STTR,Rural Hospital Provider Assistance Program,HHS-HRSA,Grant,2026-03-16,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361524
SBIR-361488,SBIR/STTR,Alumni Engagement Innovation Fund Program FY 2026,DOS-MKD,Grant,2026-03-13,2026-04-24,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361488
SBIR-361494,SBIR/STTR,Make America Healthy Again &ndash; Enhancing Lifestyle and Evaluating Value-based Approaches Through Evidence,HHS-CMS,Grant,2026-03-13,2026-05-15,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361494
SBIR-361431,SBIR/STTR,"Pilot Projects to Enhance the Human Virome Program (R03, Clinical Trials Not Allowed)",HHS-NIH11,Grant,2026-03-10,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361431
SBIR-359701,SBIR/STTR,Development of Collaborative Research Facilities or Research-Resource Facilities (C06 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-03-06,2028-01-25,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359701
SBIR-361411,SBIR/STTR,Expanding the Therapeutic Pipeline for Treating and Preventing Alzheimer's Disease and Related Dementias: Preclinical Validation and Drug Discovery for Novel Candidate Targets (U01 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-03-04,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361411
SBIR-361370,SBIR/STTR,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Therapeutic Agent Characterization and Preclinical Efficacy Studies,HHS-NIH11,Grant,2026-02-25,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361370
SBIR-361369,SBIR/STTR,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Assay Development and Therapeutic Agent Identification,HHS-NIH11,Grant,2026-02-25,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361369
SBIR-359004,SBIR/STTR,Research Grants in Clinical Informatics (R01 Clinical Trial Optional),HHS-NIH11,Grant,2026-02-11,2029-03-05,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359004
SBIR-359003,SBIR/STTR,"Advancing Bioinformatics, Translational Bioinformatics and Computational Biology Research (R01 Clinical Trial Optional)",HHS-NIH11,Grant,2026-02-11,2029-03-05,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359003
SBIR-359939,SBIR/STTR,Impact of Initial Influenza Exposure on Immunity in Infants (U01 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-02-10,2026-06-04,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359939
SBIR-359274,SBIR/STTR,Early-Stage Dissemination and Implementation Research in Communication Disorders (R21 Clinical Trial Optional),HHS-NIH11,Grant,2026-02-05,2027-06-17,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359274
SBIR-359656,SBIR/STTR,National Centers for Cryo-electron Tomography (cryoET) (R24 -Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-02-05,2027-01-26,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359656
SBIR-359725,SBIR/STTR,The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-02-04,2028-11-22,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359725
SBIR-359879,SBIR/STTR,Pilot Projects Enhancing Utility and Usage of Common Fund Data Sets (R03 Clinical Trial Not Allowed),HHS-NIH11,Grant,2026-01-30,2026-06-23,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359879
SBIR-361220,SBIR/STTR,Ryan White HIV/AIDS Program Part C Capacity Development Program&#8239;,HHS-HRSA,Grant,2026-01-30,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361220
SBIR-360581,SBIR/STTR,NIH Collaborative International Research Project (Parent PF5 Clinical Trial Optional),HHS-NIH11,Grant,2026-01-20,2029-05-07,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360581
SBIR-358911,SBIR/STTR,Single Source Renewal for the Continuation of the Liver Cirrhosis Network: Scientific and Data Coordination Center (U24 Clinical Trial Optional),HHS-NIH11,Grant,2026-01-09,2027-01-27,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358911
SBIR-361094,SBIR/STTR,State Offices of Rural Health Program,HHS-HRSA,Grant,2026-01-06,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361094
SBIR-359861,SBIR/STTR,NIGMS Institutional Biomedical Undergraduate Research Training (BURT) Program (T34),HHS-NIH11,Grant,2025-12-29,2028-09-25,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359861
SBIR-361045,SBIR/STTR,"Ryan White HIV/AIDS Program Part D - Women, Infants, Children and Youth Grant Supplemental Funding",HHS-HRSA,Grant,2025-12-19,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/361045
SBIR-359862,SBIR/STTR,Maximizing Investigators' Research Award (MIRA) (R35 - Clinical Trial Optional),HHS-NIH11,Grant,2025-12-11,2028-05-26,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359862
SBIR-360991,SBIR/STTR,Rural Health Network Advancement Program,HHS-HRSA,Grant,2025-12-11,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360991
SBIR-358935,SBIR/STTR,"Institutional Network Award for Promoting Kidney, Urologic, and Hematologic Research Training (U2C - Clinical Trial Not Allowed)",HHS-NIH11,Grant,2025-12-10,2028-05-26,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358935
SBIR-359659,SBIR/STTR,Opportunities for Collaborative Research at the NIH Clinical Center (U01 Clinical Trial Optional),HHS-NIH11,Grant,2025-12-08,2027-03-06,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359659
SBIR-359648,SBIR/STTR,Resource-Related Research Projects for Development of Models and Related Materials for Studying Human Health and Diseases (R24 Clinical Trials Not Allowed),HHS-NIH11,Grant,2025-12-05,2028-09-28,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359648
SBIR-359145,SBIR/STTR,Diabetes Research Centers (P30 Clinical Trial Optional),HHS-NIH11,Grant,2025-12-05,2027-01-27,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359145
SBIR-359647,SBIR/STTR,"Informatics, Coordination and Service Center for the Mutant Mouse Resource and Research Centers (U42 Clinical Trial Not Allowed)",HHS-NIH11,Grant,2025-12-05,2026-05-01,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359647
SBIR-358910,SBIR/STTR,Limited Competition Renewal for the Continuation of the Liver Cirrhosis Network: Clinical Research Centers (U01 Clinical Trial Required),HHS-NIH11,Grant,2025-12-05,2027-03-08,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358910
SBIR-360918,SBIR/STTR,Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),HHS-NIH11,Grant,2025-11-26,2028-09-25,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360918
SBIR-360368,SBIR/STTR,Administrative Supplements to Existing NIH Grants and Cooperative Agreements (Parent Admin Supp Clinical Trial Optional),HHS-NIH11,Grant,2025-11-26,2028-11-30,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360368
SBIR-360873,SBIR/STTR,Implementation Science to End the HIV Epidemic,HHS-NIH11,Grant,2025-11-18,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360873
SBIR-358987,SBIR/STTR,Innovation in Behavioral Health (IBH),HHS-CMS,Grant,2025-10-16,2026-06-03,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/358987
SBIR-360676,SBIR/STTR,Discovery of in vivo Chemical Probes for the Nervous System,HHS-NIH11,Grant,2025-09-29,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360676
SBIR-360674,SBIR/STTR,Cooperative Centers of Excellence in Hematology (CCEHs),HHS-NIH11,Grant,2025-09-29,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360674
SBIR-360666,SBIR/STTR,Intramural - Extramural Collaboration for Advanced 3-D Tissue Models for Drug Screening (Clinical Trial Not Allowed),HHS-NIH11,Grant,2025-09-29,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360666
SBIR-360659,SBIR/STTR,Collaborative Awards to Support Microphysiological System Pilot Studies in Type 2 Diabetes Research,HHS-NIH11,Grant,2025-09-26,,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360659
SBIR-360655,SBIR/STTR,INCLUDE Project: Clinical Trials Phased Awards for Down syndrome Research (R61/R33 Clinical Trial Required),HHS-NIH11,Grant,2025-09-25,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360655
SBIR-360643,SBIR/STTR,Autism Centers of Excellence R01,HHS-NIH11,Grant,2025-09-23,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360643
SBIR-360634,SBIR/STTR,"Bioengineering Research, Innovation and Technology Education (BRITE) Program (R25 Clinical Trial Not Allowed)",HHS-NIH11,Grant,2025-09-22,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360634
SBIR-360639,SBIR/STTR,Research Council of Finland (RCF) &ndash; National Institutes of Health (NIH) Partnership Program,HHS-NIH11,Grant,2025-09-22,,,USD,True,True,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360639
SBIR-360584,SBIR/STTR,Maternal and Pediatric Precision in Therapeutics (MPRINT) Knowledge and Research Coordination Center,HHS-NIH11,Grant,2025-09-15,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360584
SBIR-360592,SBIR/STTR,"Biomedical Engineering, Imaging, and Technology Acceleration (BEITA) at Historically Black Colleges and Universities",HHS-NIH11,Grant,2025-09-15,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360592
SBIR-360543,SBIR/STTR,Bioengineering Research Grants (BRG) (R01 Clinical Trial Optional),HHS-NIH11,Grant,2025-09-09,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360543
SBIR-360536,SBIR/STTR,Early-Stage Innovative Technology Development for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed),HHS-NIH11,Grant,2025-09-08,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360536
SBIR-360505,SBIR/STTR,A Demonstration to Scale Innovative Person-Centered Approaches to Falls Prevention through Clinical-Community Partnerships,HHS-ACL,Grant,2025-09-05,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/360505
SBIR-359675,SBIR/STTR,Limited Competition: Small Grant Program for NHLBI Career Development Recipients (Clinical Trial Optional),HHS-NIH11,Grant,2025-07-18,,,USD,True,False,0.0,,0.0,,False,https://www.grants.gov/search-results-detail/359675
